wine_type,wine_category,food_item,cuisine,pairing_quality,description
Merlot,Red,alfredo pasta,Greek,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,sorbet,American BBQ,5,Sweet/sparkling pairs with dessert.
Tempranillo,Red,fondue,Ethiopian,3,Heuristic pairing assessment.
Gamay,Red,bbq brisket,Argentinian,1,Delicate wine overwhelmed by red meat.
White Zinfandel,Rosé,bbq brisket,Indian,3,Delicate wine overwhelmed by red meat.
Barbera,Red,gazpacho,Mexican,4,Acidic wine balances acidic food.
Merlot,Red,mixed nuts,Greek,1,Deliberately bad pairing example for contrast.
Sangiovese,Red,mushroom risotto,Indian,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,bacon burger,American BBQ,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,bacon burger,Vietnamese,4,Heuristic pairing assessment.
Sauvignon Blanc,White,mac and cheese,Indian,5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,fondue,Ethiopian,4,Heuristic pairing assessment.
Nebbiolo,Red,citrus salad,Korean,4,Acidic wine balances acidic food.
Ice Wine,Dessert,duck à l’orange,Thai,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,fondue,Japanese,3,Heuristic pairing assessment.
White Zinfandel,Rosé,caprese salad,Thai,2,Heuristic pairing assessment.
Nebbiolo,Red,roast lamb,American BBQ,1,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,bbq brisket,Argentinian,1,Delicate wine overwhelmed by red meat.
Sauternes,Dessert,charcuterie board,Moroccan,1,Deliberately bad pairing example for contrast.
Syrah,Red,grilled ribeye,Italian,4,Heuristic pairing assessment.
Albariño,White,sorbet,Indian,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,olives and cheese,Indian,4,Heuristic pairing assessment.
Riesling,White,bbq brisket,American BBQ,2,Delicate wine overwhelmed by red meat.
Albariño,White,mac and cheese,Vietnamese,1,Deliberately bad pairing example for contrast.
Pinot Noir,Red,beef stew,Thai,3,Heuristic pairing assessment.
Chenin Blanc,White,fondue,Argentinian,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,vegetable curry,Korean,2,Heuristic pairing assessment.
Torrontés,White,Thai curry,Greek,1,Deliberately bad pairing example for contrast.
Sangiovese,Red,cheese platter,Greek,4,Heuristic pairing assessment.
Albariño,White,carbonara,Ethiopian,2,Too lean for creamy dish.
Nebbiolo,Red,Sichuan noodles,Japanese,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,bacon burger,American BBQ,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,roast lamb,Ethiopian,1,Delicate wine overwhelmed by red meat.
Cabernet Sauvignon,Red,bbq brisket,Japanese,3,Tannic red complements red meat fat.
Grüner Veltliner,White,cheese platter,French,3,Heuristic pairing assessment.
Viognier,White,bbq brisket,Moroccan,3,Delicate wine overwhelmed by red meat.
Albariño,White,beef stew,Indian,3,Heuristic pairing assessment.
Provence Rosé,Rosé,roast lamb,Indian,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,oysters,French,1,Deliberately bad pairing example for contrast.
Viognier,White,mac and cheese,Italian,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,cream of mushroom soup,Japanese,3,Too lean for creamy dish.
Sauternes,Dessert,charcuterie board,Italian,4,Heuristic pairing assessment.
Riesling,White,Thai curry,German,5,Idealized perfect pairing example for contrast.
Gamay,Red,beef stew,Argentinian,2,Heuristic pairing assessment.
Sangiovese,Red,mac and cheese,Argentinian,3,Heuristic pairing assessment.
Zinfandel,Red,fondue,Italian,2,Heuristic pairing assessment.
Zinfandel,Red,roast lamb,Mexican,3,Tannic red complements red meat fat.
Champagne,Sparkling,mac and cheese,Mexican,4,Heuristic pairing assessment.
Champagne,Sparkling,mixed nuts,Indian,1,Deliberately bad pairing example for contrast.
Gamay,Red,fondue,French,2,Heuristic pairing assessment.
Champagne,Sparkling,cheese platter,Italian,3,Heuristic pairing assessment.
Grenache,Red,citrus salad,Chinese (Sichuan),3,Acidic wine balances acidic food.
Cabernet Sauvignon,Red,cheese platter,Greek,3,Heuristic pairing assessment.
Malbec,Red,fondue,Thai,3,Heuristic pairing assessment.
Syrah,Red,cheese platter,French,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,beef stew,Mexican,3,Heuristic pairing assessment.
Tempranillo,Red,roast lamb,American BBQ,4,Tannic red complements red meat fat.
Sauternes,Dessert,fondue,Chinese (Sichuan),4,Heuristic pairing assessment.
Chenin Blanc,White,grilled ribeye,Chinese (Sichuan),4,Heuristic pairing assessment.
Provence Rosé,Rosé,fondue,Japanese,2,Heuristic pairing assessment.
Gamay,Red,cheese platter,Chinese (Sichuan),4,Heuristic pairing assessment.
Provence Rosé,Rosé,gazpacho,Spanish,4,Acidic wine balances acidic food.
Sauvignon Blanc,White,fish tacos,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Madeira,Fortified,roast lamb,Mexican,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,roast lamb,Moroccan,1,Delicate wine overwhelmed by red meat.
Pinot Noir,Red,beef stew,Greek,4,Heuristic pairing assessment.
Sauvignon Blanc,White,mac and cheese,Korean,3,Heuristic pairing assessment.
Cava,Sparkling,grilled ribeye,Greek,4,Heuristic pairing assessment.
Syrah,Red,cheese platter,American BBQ,2,Heuristic pairing assessment.
Torrontés,White,caprese salad,Chinese (Sichuan),3,Heuristic pairing assessment.
Grüner Veltliner,White,carbonara,Italian,3,Too lean for creamy dish.
Provence Rosé,Rosé,beef stew,Spanish,2,Heuristic pairing assessment.
Sauternes,Dessert,fondue,Middle Eastern,2,Heuristic pairing assessment.
Sauvignon Blanc,White,alfredo pasta,Greek,2,Too lean for creamy dish.
Torrontés,White,mac and cheese,Japanese,5,Idealized perfect pairing example for contrast.
Chenin Blanc,White,beef stew,Indian,2,Heuristic pairing assessment.
Malbec,Red,gazpacho,Mexican,4,Acidic wine balances acidic food.
Chardonnay,White,mac and cheese,Thai,1,Deliberately bad pairing example for contrast.
Malbec,Red,citrus salad,Spanish,5,Acidic wine balances acidic food.
Syrah,Red,mac and cheese,Japanese,4,Heuristic pairing assessment.
Sauvignon Blanc,White,caprese salad,American BBQ,3,Heuristic pairing assessment.
Syrah,Red,fondue,Argentinian,3,Heuristic pairing assessment.
Malbec,Red,caprese salad,French,2,Heuristic pairing assessment.
Madeira,Fortified,chocolate mousse,Japanese,1,Deliberately bad pairing example for contrast.
Champagne,Sparkling,roast lamb,Mexican,2,Delicate wine overwhelmed by red meat.
Barbera,Red,fondue,Argentinian,2,Heuristic pairing assessment.
Zinfandel,Red,grilled burger,Greek,1,Deliberately bad pairing example for contrast.
Madeira,Fortified,sorbet,Chinese (Sichuan),1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,cream of mushroom soup,German,3,Too lean for creamy dish.
Grenache,Red,bacon burger,Japanese,1,Deliberately bad pairing example for contrast.
Gamay,Red,caprese salad,Ethiopian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,cheese platter,Vietnamese,4,Heuristic pairing assessment.
Sauternes,Dessert,fish tacos,Indian,3,Tannic reds clash with delicate seafood.
Riesling,White,beef stew,Thai,4,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Greek,1,Dry table wine clashes with dessert sweetness.
Sangiovese,Red,bbq brisket,Chinese (Sichuan),1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,citrus salad,American BBQ,3,Acidic wine balances acidic food.
Sauternes,Dessert,grilled ribeye,Middle Eastern,4,Heuristic pairing assessment.
Nebbiolo,Red,Thai curry,Italian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,citrus salad,Moroccan,3,Acidic wine balances acidic food.
Gewürztraminer,White,bbq brisket,Japanese,2,Delicate wine overwhelmed by red meat.
Port,Fortified,citrus salad,Indian,1,Low-acid wine seems flabby vs acids.
Riesling,White,bbq brisket,Chinese (Sichuan),2,Delicate wine overwhelmed by red meat.
Riesling,White,mac and cheese,Vietnamese,4,Heuristic pairing assessment.
Cava,Sparkling,olives and cheese,Thai,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,fondue,Middle Eastern,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,cheese platter,German,3,Heuristic pairing assessment.
Provence Rosé,Rosé,grilled ribeye,Mexican,3,Heuristic pairing assessment.
Ice Wine,Dessert,chocolate mousse,Ethiopian,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,roast lamb,Moroccan,1,Delicate wine overwhelmed by red meat.
Gewürztraminer,White,roast lamb,Indian,1,Deliberately bad pairing example for contrast.
Albariño,White,fish tacos,Thai,3,Crisp acidity suits seafood.
Provence Rosé,Rosé,bbq brisket,Korean,2,Delicate wine overwhelmed by red meat.
Nebbiolo,Red,carbonara,Vietnamese,3,Too lean for creamy dish.
Torrontés,White,grilled ribeye,Spanish,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,grilled burger,French,5,Idealized perfect pairing example for contrast.
Gamay,Red,fondue,French,4,Heuristic pairing assessment.
Sauvignon Blanc,White,fondue,Greek,2,Heuristic pairing assessment.
Albariño,White,mac and cheese,Chinese (Sichuan),3,Heuristic pairing assessment.
Pinot Noir,Red,stir-fried tofu,French,1,Deliberately bad pairing example for contrast.
Torrontés,White,beef stew,Japanese,2,Heuristic pairing assessment.
Pinot Noir,Red,gazpacho,Vietnamese,1,Deliberately bad pairing example for contrast.
Barbera,Red,caprese salad,Vietnamese,3,Heuristic pairing assessment.
Tempranillo,Red,beef stew,Spanish,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,charcuterie board,Indian,1,Deliberately bad pairing example for contrast.
Sangiovese,Red,vegetable curry,Spanish,1,Deliberately bad pairing example for contrast.
Albariño,White,cream of mushroom soup,Mexican,3,Too lean for creamy dish.
Sauternes,Dessert,bacon burger,Vietnamese,1,Deliberately bad pairing example for contrast.
Barbera,Red,bbq brisket,Indian,2,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,cheesecake,Chinese (Sichuan),3,Dry table wine clashes with dessert sweetness.
Cava,Sparkling,caprese salad,Mexican,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,cheese platter,French,1,Deliberately bad pairing example for contrast.
Chardonnay,White,bbq brisket,Ethiopian,3,Delicate wine overwhelmed by red meat.
Pinot Noir,Red,mushroom risotto,Indian,5,Idealized perfect pairing example for contrast.
Viognier,White,roast chicken with herbs,Argentinian,1,Deliberately bad pairing example for contrast.
Champagne,Sparkling,citrus salad,Korean,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,cheese platter,Indian,4,Heuristic pairing assessment.
Grüner Veltliner,White,shrimp scampi,Spanish,3,Crisp acidity suits seafood.
Viognier,White,fondue,Greek,1,Deliberately bad pairing example for contrast.
Madeira,Fortified,beef stew,American BBQ,3,Heuristic pairing assessment.
Madeira,Fortified,gazpacho,German,3,Acidic wine balances acidic food.
Cava,Sparkling,roast lamb,Indian,3,Delicate wine overwhelmed by red meat.
Sauternes,Dessert,cheese platter,Argentinian,3,Heuristic pairing assessment.
Grenache,Red,mac and cheese,German,2,Heuristic pairing assessment.
Pinot Noir,Red,mac and cheese,Korean,3,Heuristic pairing assessment.
Albariño,White,carbonara,Middle Eastern,1,Too lean for creamy dish.
Gamay,Red,grilled ribeye,Argentinian,4,Heuristic pairing assessment.
Albariño,White,sorbet,American BBQ,5,Idealized perfect pairing example for contrast.
Port,Fortified,beef stew,Vietnamese,3,Heuristic pairing assessment.
Nebbiolo,Red,alfredo pasta,Thai,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,grilled ribeye,French,4,Heuristic pairing assessment.
Ice Wine,Dessert,mac and cheese,French,3,Heuristic pairing assessment.
Merlot,Red,olives and cheese,Indian,5,Idealized perfect pairing example for contrast.
Grenache,Red,mixed nuts,Argentinian,5,Idealized perfect pairing example for contrast.
Tempranillo,Red,gazpacho,Italian,4,Acidic wine balances acidic food.
Merlot,Red,gazpacho,Japanese,3,Acidic wine balances acidic food.
Port,Fortified,grilled ribeye,Moroccan,5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,charcuterie board,French,5,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,roast lamb,Moroccan,3,Delicate wine overwhelmed by red meat.
Gewürztraminer,White,bbq brisket,German,2,Delicate wine overwhelmed by red meat.
Chenin Blanc,White,bbq brisket,Korean,2,Delicate wine overwhelmed by red meat.
Pinot Noir,Red,vegetable curry,Thai,1,Deliberately bad pairing example for contrast.
Grenache,Red,alfredo pasta,American BBQ,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,grilled ribeye,Korean,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,oysters,Korean,3,Tannic reds clash with delicate seafood.
Tempranillo,Red,mac and cheese,French,5,Idealized perfect pairing example for contrast.
Provence Rosé,Rosé,fondue,Italian,4,Heuristic pairing assessment.
Viognier,White,roast lamb,Middle Eastern,2,Delicate wine overwhelmed by red meat.
Gamay,Red,shrimp scampi,Mexican,5,Idealized perfect pairing example for contrast.
Merlot,Red,roast lamb,Indian,5,Tannic red complements red meat fat.
Madeira,Fortified,chocolate mousse,Greek,5,Idealized perfect pairing example for contrast.
Port,Fortified,beef stew,Mexican,3,Heuristic pairing assessment.
Viognier,White,pork tenderloin,French,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,duck à l’orange,Greek,1,Deliberately bad pairing example for contrast.
Tempranillo,Red,beef stew,Ethiopian,3,Heuristic pairing assessment.
Cava,Sparkling,mixed nuts,Greek,1,Deliberately bad pairing example for contrast.
Chardonnay,White,roast lamb,Mexican,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,grilled burger,Middle Eastern,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,stir-fried tofu,American BBQ,4,Heuristic pairing assessment.
Madeira,Fortified,citrus salad,American BBQ,4,Acidic wine balances acidic food.
Champagne,Sparkling,cheese platter,Thai,3,Heuristic pairing assessment.
White Zinfandel,Rosé,fondue,Chinese (Sichuan),2,Heuristic pairing assessment.
Torrontés,White,grilled ribeye,Ethiopian,3,Heuristic pairing assessment.
Albariño,White,vegetable curry,Spanish,1,Deliberately bad pairing example for contrast.
Gamay,Red,citrus salad,Japanese,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,bbq brisket,Chinese (Sichuan),1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,caprese salad,Ethiopian,4,Heuristic pairing assessment.
Viognier,White,duck à l’orange,Vietnamese,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,mac and cheese,Italian,4,Heuristic pairing assessment.
Riesling,White,caprese salad,Vietnamese,3,Heuristic pairing assessment.
Syrah,Red,bbq ribs,German,1,Deliberately bad pairing example for contrast.
Viognier,White,roast lamb,American BBQ,3,Delicate wine overwhelmed by red meat.
Syrah,Red,smoked sausage,Middle Eastern,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,caprese salad,Vietnamese,3,Heuristic pairing assessment.
Cava,Sparkling,shrimp scampi,Thai,1,Deliberately bad pairing example for contrast.
Madeira,Fortified,sorbet,Vietnamese,5,Idealized perfect pairing example for contrast.
Riesling,White,bbq brisket,American BBQ,5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,gazpacho,American BBQ,3,Acidic wine balances acidic food.
Viognier,White,carbonara,German,1,Deliberately bad pairing example for contrast.
Albariño,White,fish tacos,Ethiopian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,bacon burger,Korean,5,Idealized perfect pairing example for contrast.
Provence Rosé,Rosé,citrus salad,Indian,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,caprese salad,Greek,4,Heuristic pairing assessment.
Champagne,Sparkling,fondue,Thai,2,Heuristic pairing assessment.
Cava,Sparkling,oysters,Moroccan,1,Deliberately bad pairing example for contrast.
Syrah,Red,bbq ribs,Indian,5,Idealized perfect pairing example for contrast.
Riesling,White,Sichuan noodles,Middle Eastern,5,Idealized perfect pairing example for contrast.
Albariño,White,mac and cheese,Indian,4,Heuristic pairing assessment.
Malbec,Red,citrus salad,German,4,Acidic wine balances acidic food.
Nebbiolo,Red,fondue,Mexican,4,Heuristic pairing assessment.
Ice Wine,Dessert,bbq ribs,Vietnamese,4,Heuristic pairing assessment.
Sauternes,Dessert,grilled salmon,Argentinian,1,Tannic reds clash with delicate seafood.
Gamay,Red,grilled salmon,Greek,1,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,bbq brisket,Japanese,3,Delicate wine overwhelmed by red meat.
Torrontés,White,roast lamb,Thai,2,Delicate wine overwhelmed by red meat.
Sangiovese,Red,mac and cheese,Mexican,3,Heuristic pairing assessment.
Ice Wine,Dessert,shrimp scampi,Japanese,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,bbq brisket,Moroccan,1,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,citrus salad,Thai,4,Acidic wine balances acidic food.
Albariño,White,cream of mushroom soup,German,3,Too lean for creamy dish.
Albariño,White,beef stew,Mexican,2,Heuristic pairing assessment.
Barbera,Red,fondue,Indian,2,Heuristic pairing assessment.
Port,Fortified,gazpacho,Middle Eastern,2,Low-acid wine seems flabby vs acids.
Cabernet Sauvignon,Red,fondue,Chinese (Sichuan),4,Heuristic pairing assessment.
Cabernet Sauvignon,Red,beef stew,Moroccan,1,Deliberately bad pairing example for contrast.
Barbera,Red,beef stew,American BBQ,3,Heuristic pairing assessment.
Viognier,White,citrus salad,Argentinian,1,Low-acid wine seems flabby vs acids.
Ice Wine,Dessert,shrimp scampi,Indian,1,Tannic reds clash with delicate seafood.
Sangiovese,Red,cheese platter,German,2,Heuristic pairing assessment.
Merlot,Red,fondue,French,1,Deliberately bad pairing example for contrast.
Madeira,Fortified,cheese platter,Argentinian,1,Deliberately bad pairing example for contrast.
Barbera,Red,gazpacho,Indian,4,Acidic wine balances acidic food.
Albariño,White,cheese platter,Middle Eastern,4,Heuristic pairing assessment.
Grenache,Red,roast lamb,Vietnamese,1,Delicate wine overwhelmed by red meat.
Zinfandel,Red,smoked sausage,German,5,Idealized perfect pairing example for contrast.
Provence Rosé,Rosé,cheese platter,Chinese (Sichuan),3,Heuristic pairing assessment.
Grüner Veltliner,White,sorbet,Argentinian,3,Dry table wine clashes with dessert sweetness.
Ice Wine,Dessert,charcuterie board,Moroccan,2,Heuristic pairing assessment.
Ice Wine,Dessert,sorbet,French,1,Deliberately bad pairing example for contrast.
Barbera,Red,gazpacho,Japanese,3,Acidic wine balances acidic food.
Cava,Sparkling,charcuterie board,Middle Eastern,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,chocolate mousse,Ethiopian,2,Dry table wine clashes with dessert sweetness.
Torrontés,White,Indian vindaloo,Korean,5,Idealized perfect pairing example for contrast.
Tempranillo,Red,cheese platter,French,2,Heuristic pairing assessment.
Pinot Noir,Red,fondue,Ethiopian,4,Heuristic pairing assessment.
Barbera,Red,beef stew,Ethiopian,3,Heuristic pairing assessment.
Merlot,Red,beef stew,Spanish,3,Heuristic pairing assessment.
Sauvignon Blanc,White,oysters,Ethiopian,3,Crisp acidity suits seafood.
Grenache,Red,bbq brisket,Chinese (Sichuan),2,Delicate wine overwhelmed by red meat.
Nebbiolo,Red,grilled ribeye,Argentinian,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,vegetable curry,French,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,oysters,Argentinian,1,Tannic reds clash with delicate seafood.
Pinot Noir,Red,gazpacho,Japanese,1,Deliberately bad pairing example for contrast.
Albariño,White,grilled ribeye,Mexican,4,Heuristic pairing assessment.
Sauvignon Blanc,White,cream of mushroom soup,Moroccan,3,Too lean for creamy dish.
Sauvignon Blanc,White,stir-fried tofu,Thai,4,Heuristic pairing assessment.
Provence Rosé,Rosé,grilled ribeye,Italian,3,Heuristic pairing assessment.
Barbera,Red,roast lamb,Greek,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,smoked sausage,German,1,Deliberately bad pairing example for contrast.
Tempranillo,Red,roast lamb,Spanish,3,Tannic red complements red meat fat.
Sauternes,Dessert,bbq brisket,Thai,2,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,fondue,Greek,3,Heuristic pairing assessment.
Provence Rosé,Rosé,beef stew,Thai,3,Heuristic pairing assessment.
Sauternes,Dessert,duck à l’orange,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Merlot,Red,bbq brisket,American BBQ,4,Tannic red complements red meat fat.
Sauternes,Dessert,mac and cheese,Middle Eastern,2,Heuristic pairing assessment.
Madeira,Fortified,gazpacho,Moroccan,3,Acidic wine balances acidic food.
Albariño,White,lemon tart,Korean,4,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Madeira,Fortified,bbq brisket,Mexican,1,Delicate wine overwhelmed by red meat.
Ice Wine,Dessert,bbq brisket,Mexican,3,Delicate wine overwhelmed by red meat.
Sauternes,Dessert,mixed nuts,Thai,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,citrus salad,Mexican,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,chicken curry,Spanish,3,Heavy wine can dominate poultry.
Grüner Veltliner,White,cheese platter,Chinese (Sichuan),3,Heuristic pairing assessment.
Merlot,Red,mac and cheese,Korean,3,Heuristic pairing assessment.
White Zinfandel,Rosé,fondue,Italian,3,Heuristic pairing assessment.
Chenin Blanc,White,mac and cheese,Vietnamese,3,Heuristic pairing assessment.
Malbec,Red,mac and cheese,Chinese (Sichuan),3,Heuristic pairing assessment.
Grüner Veltliner,White,fish tacos,Greek,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,mixed nuts,Moroccan,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,mac and cheese,Greek,4,Heuristic pairing assessment.
Grenache,Red,cream of mushroom soup,Argentinian,5,Idealized perfect pairing example for contrast.
Grenache,Red,charcuterie board,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Syrah,Red,grilled ribeye,German,2,Heuristic pairing assessment.
Tempranillo,Red,beef stew,Moroccan,4,Heuristic pairing assessment.
Champagne,Sparkling,cheese platter,Mexican,3,Heuristic pairing assessment.
Sauternes,Dessert,grilled burger,French,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,fish tacos,French,3,Crisp acidity suits seafood.
Ice Wine,Dessert,grilled salmon,Indian,1,Tannic reds clash with delicate seafood.
Nebbiolo,Red,Indian vindaloo,Japanese,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,beef stew,Korean,3,Heuristic pairing assessment.
Riesling,White,grilled ribeye,Greek,3,Heuristic pairing assessment.
Gewürztraminer,White,cheese platter,Vietnamese,2,Heuristic pairing assessment.
Nebbiolo,Red,carbonara,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Gewürztraminer,White,Sichuan noodles,Middle Eastern,5,Idealized perfect pairing example for contrast.
Madeira,Fortified,citrus salad,Spanish,4,Acidic wine balances acidic food.
Sauvignon Blanc,White,cream of mushroom soup,Middle Eastern,5,Idealized perfect pairing example for contrast.
Zinfandel,Red,fondue,Japanese,2,Heuristic pairing assessment.
Madeira,Fortified,sorbet,German,2,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Mexican,5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,fondue,Italian,3,Heuristic pairing assessment.
Tempranillo,Red,fondue,Italian,3,Heuristic pairing assessment.
Merlot,Red,bbq brisket,Thai,3,Tannic red complements red meat fat.
Chenin Blanc,White,roast lamb,Indian,1,Delicate wine overwhelmed by red meat.
Syrah,Red,grilled ribeye,Vietnamese,1,Deliberately bad pairing example for contrast.
Tempranillo,Red,gazpacho,Greek,5,Acidic wine balances acidic food.
Champagne,Sparkling,oysters,Spanish,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,mac and cheese,Ethiopian,4,Heuristic pairing assessment.
Port,Fortified,beef stew,Thai,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,grilled salmon,Thai,1,Tannic reds clash with delicate seafood.
Gamay,Red,caprese salad,Greek,3,Heuristic pairing assessment.
Grenache,Red,beef stew,Middle Eastern,3,Heuristic pairing assessment.
Provence Rosé,Rosé,gazpacho,Ethiopian,3,Acidic wine balances acidic food.
Port,Fortified,cheesecake,Greek,1,Deliberately bad pairing example for contrast.
Gamay,Red,mac and cheese,German,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,cheesecake,Greek,3,Dry table wine clashes with dessert sweetness.
Torrontés,White,Thai curry,Moroccan,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,carbonara,Japanese,3,Richer body matches creamy textures.
Sauternes,Dessert,charcuterie board,Italian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,olives and cheese,Mexican,4,Heuristic pairing assessment.
Ice Wine,Dessert,charcuterie board,American BBQ,2,Heuristic pairing assessment.
Gamay,Red,roast lamb,Ethiopian,3,Delicate wine overwhelmed by red meat.
Ice Wine,Dessert,beef stew,Ethiopian,2,Heuristic pairing assessment.
Grenache,Red,mixed nuts,Indian,1,Deliberately bad pairing example for contrast.
Gewürztraminer,White,gazpacho,Spanish,5,Idealized perfect pairing example for contrast.
Viognier,White,gazpacho,Argentinian,2,Low-acid wine seems flabby vs acids.
Viognier,White,pork tenderloin,German,5,Idealized perfect pairing example for contrast.
Madeira,Fortified,mac and cheese,Vietnamese,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,lemon tart,German,2,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Grüner Veltliner,White,mac and cheese,American BBQ,3,Heuristic pairing assessment.
Sauvignon Blanc,White,cheesecake,Indian,3,Dry table wine clashes with dessert sweetness.
Gamay,Red,cheese platter,Korean,5,Idealized perfect pairing example for contrast.
Merlot,Red,beef stew,Greek,3,Heuristic pairing assessment.
Gamay,Red,mac and cheese,Indian,4,Heuristic pairing assessment.
Riesling,White,Thai curry,French,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,bacon burger,Italian,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,charcuterie board,French,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,bbq brisket,Japanese,2,Delicate wine overwhelmed by red meat.
Sangiovese,Red,beef stew,Moroccan,3,Heuristic pairing assessment.
Nebbiolo,Red,bacon burger,Indian,5,Idealized perfect pairing example for contrast.
Albariño,White,roast lamb,Greek,3,Delicate wine overwhelmed by red meat.
Zinfandel,Red,gazpacho,Spanish,3,Acidic wine balances acidic food.
Albariño,White,mac and cheese,Thai,2,Heuristic pairing assessment.
Barbera,Red,fondue,Indian,4,Heuristic pairing assessment.
Madeira,Fortified,grilled ribeye,Moroccan,2,Heuristic pairing assessment.
Albariño,White,mushroom risotto,Thai,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,duck à l’orange,Mexican,1,Deliberately bad pairing example for contrast.
Grenache,Red,mac and cheese,Argentinian,2,Heuristic pairing assessment.
Chardonnay,White,cream of mushroom soup,Greek,5,Richer body matches creamy textures.
Sauvignon Blanc,White,alfredo pasta,American BBQ,1,Too lean for creamy dish.
Sauternes,Dessert,chocolate mousse,Japanese,1,Deliberately bad pairing example for contrast.
Gewürztraminer,White,fondue,Mexican,3,Heuristic pairing assessment.
Grüner Veltliner,White,beef stew,German,3,Heuristic pairing assessment.
Sauvignon Blanc,White,alfredo pasta,Chinese (Sichuan),3,Too lean for creamy dish.
Provence Rosé,Rosé,gazpacho,German,4,Acidic wine balances acidic food.
Nebbiolo,Red,Indian vindaloo,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,grilled salmon,Moroccan,4,Crisp acidity suits seafood.
Chenin Blanc,White,cheese platter,Middle Eastern,4,Heuristic pairing assessment.
